title;artist;album;isrc
Sky and Sand;Paul Kalkbrenner;Berlin Calling (The Soundtrack by Paul Kalkbrenner);denz71300061
White Rabbit (Mono Single Version);Jefferson Airplane;Surrealistic Pillow;usrc10301023
Too Close;Alex Clare;The Lateness Of the Hour (Deluxe Edition);gbum71101222
Sail;AWOLNATION;Megalithic Symphony;usp6l1000053
Crave You (Flight Facilities Adventure Club Ukulele Remix);Brittni Paiva;Crave You (Flight Facilities Adventure Club Ukulele Remix);uscgh1540404
Breathe Me;Sia;Colour The Small One (Deluxe Edition);gbaan0300590
Somebody Told Me;The Killers;Direct Hits;usir20400195
We Are Your Friends;Justice vs. Simian;We Are Your Friends;gbaaa0600209
Feel Good Inc.;Gorillaz;The Singles Collection 2001-2011;gbaye0500172
Last Nite;The Strokes;Is This It;usrc10100765
D.A.N.C.E;Justice;Justice;fr0nt0700420
Seven Nation Army;The White Stripes;Elephant;usvt10300001
Mr. Brightside;The Killers;Direct Hits;usir20400274
Radioactive;Imagine Dragons;Night Visions (Deluxe);usum71201074
Lonely Boy;The Black Keys;El Camino;usno11100273
I Bet You Look Good on the Dancefloor;Arctic Monkeys;Whatever People Say I Am, That's What I'm Not;gbcel0501181
Take Me Out;Franz Ferdinand;Franz Ferdinand;gbcel0300192
Fast Track Live vs We Are Your Friends;Etienne de Crecy;Live on Neptune;fru980700032
Pumped Up Kicks;Foster the People;Torches;ussm11002931
Midnight City;M83;Hurry Up, We're Dreaming;gb55h1100002
Fell in Love with a Girl;The White Stripes;White Blood Cells;gbbks0100352
Heads Will Roll (A-Trak Remix);Yeah Yeah Yeahs;Heads Will Roll (A-Trak Remix EP);usum70906794
The Knife: Heartbeats [Rex the Dog Remix];Rex the Dog;The Rex The Dog Show;gbblk0800080
Gimme Shelter;The Rolling Stones;Let It Bleed;usa176910020
Everlong;Foo Fighters;Greatest Hits;usrw29600011
Mass Destruction (Single Version);Faithless;Forever Faithless - The Greatest Hits;gbbxh0400015
19-2000 (Soulchild Remix);Gorillaz;The Singles Collection 2001-2011;gbaye0100564
No More Conversations;Dr. Lektroluv;Elektrik World;ben581200799
My Favourite Game;The Cardigans;Best Of;sebkb9802010
