title;artist;album;isrc
Fast Car (LP Version);Tracy Chapman;Tracy Chapman;usee10180719
Just A Little Lovin' (Album Version);Shelby Lynne;Just A Little Lovin';usum70755619
Don't Believe in Love;Dido;Greatest Hits (Deluxe);gbarl0801016
Bird on a Wire (Digitally Remastered);Jennifer Warnes;Famous Blue Raincoat. Songs of Leonard Cohen;ushyy0710002
Morph the Cat;Donald Fagen;Morph The Cat (U.S Version);usre10600183
Die Parade der Zinnsoldaten, Op. 123 (arr. J. Morrissey);Frederick Fennell / Dallas Wind Symphony;Marches I've Missed (Leon Jessel - John Morrissey - Charles Belsterling);usfkz0610262
I Can See Clearly Now;Holly Cole Trio;Don't Smoke In Bed;usbn29300159
Holding On;Gregory Porter;Take Me To The Alley;frum71600283
Temptation;Diana Krall;The Girl In The Other Room;usgr10301330
Framed by Funk;Spoonbill;Airborne;usqy51256566
Changes;Arianna Neikrug;Changes;usc4r1806366
Roxbury Park;Ola Gjeilo;Stone Rose;nompp0708060
Seaside Rendez-vous;The King’s Singers;Good Vibrations;usbc19100609
Violin Concerto No. 4 In D Major Kv 218: I. Allegro;2L Audiophile Reference Recordings;2L — The Nordic Sound;nompp0606010
Noah;The Fairfield Four;I Couldn't Hear Nobody Pray;uswb19700760
Tin Pan Alley (AKA Roughest Place in Town) (Album Version);Stevie Ray Vaughan and Double Trouble;The Essential Stevie Ray Vaughan And Double Trouble;ussm18400418
Man in the Long Black Coat;Mark Lanegan;I'm Not There (Music From The Motion Picture - Original Soundtrack);uslic0701059
Six Blade Knife;Dire Straits;Dire Straits;gbf089601039
Gaia;James Taylor;Hourglass;ussm19700473
Fever;Michael Buble;Michael Buble (US Version);usre10201543
Hurt (Album Version);Johnny Cash;Unearthed;usdj20200650
Fever;Malia & Boris Blank;Convergence;deum71302244
Wondering Where the Lions Are;Steve Bell;My Dinner With Bruce - Songs of Bruce Cockburn;uscgj0629026
