title;artist;album;isrc
Let Me Love You for Tonight (Hip-Hop Club Version);Kariya;Let Me Love You for Tonight;qmv7z1500167
Walking On Sunshine (Hott 22 Rhodes Revenge Remix);Rocker's Revenge;Walking on Sunshine;us4a90510672
Josephine (French Edit);Chris Rea;The Works;gbahs0104746
Acid Thunder;Fast Eddie;Jack to the Sound (Digitally Remastered);qm8rj1400046
Yoyo Get Funky;Fast Eddie;Jack to the Sound (Digitally Remastered);qm8rj1400051
Acperience 1;Hardfloor;TB Resucitation;dep999300001
Ain't Nothin' Goin' On But The Rent;Gwen Guthrie;Gold - '80s Soul;usf068625830
Always There;Incognito;2oth Century Masters: The Best Of;gbf089100006
Your Love;Frankie Knuckles;Frankie Knuckles Presents: His Greatest Hits from Trax Records;gbblg0100312
Baby Wants to Ride (feat. Jamie Principle) (Re-Directed);Frankie Knuckles / Director’s Cut / Eric Kupper / Jamie Principle;Baby Wants to Ride (feat. Jamie Principle) (Re-Directed);uk6kh1900165
Bamboleo;Gipsy Kings;Gipsy Kings;usn018884501
Can You Party (UK Remixxx);Todd Terry;Todd Terry's Ultimate Rare Grooves (Part 1);usmkq1100015
Bango (Club Bang);The Todd Terry Project;Classic Club Bangers;uslq21300038
Da Bango (Albert Cabrera Rework);Todd Terry;Da Bango (Albert Cabrera Rework);usmkq1400041
Ride on Time;Black Box;Dreamland;gbcmx0509001
Ride on Time (Massive Mix);Black Box;Ride on Time;gbcmx0609022
Break 4 Love (Skunk Dub);Raze;Break 4 Love;gbbxg0720062
Can You Party;Royal House;Todd Terry's Greatest Hits;uswr31200031
Der Erdbeermund (Get into Magic Mix);Culture Beat;Cherry Lips / Der Erdbeermund;dept99400112
Gypsy Woman (She's Homeless) (La Da Dee La Da Da) (Radio Edit);Crystal Waters;20th Century Masters: The Millennium Collection: Best Of Crystal Waters;uspr39102713
Cubik;808 State;808:88:98;gbahw0000143
Let The Music Use You;The Night Writers;Frankie Knuckles Presents: His Greatest Hits from Trax Records;gbblg0100328
You Got the Love (Long Version);Frankie Knuckles;Greatest - Frankie Knuckles;gbblg0100464
Can You Feel It (feat. Robert Owens);Frankie Knuckles, Mr Fingers;Four Most Cuts Presents - Frankie Knuckles vs. Mr Fingers;gbblg0100427
You Got the Love (Long Version);Frankie Knuckles;Greatest - Frankie Knuckles;gbblg0100464
Let The Music Use You;The Night Writers;Frankie Knuckles Presents: His Greatest Hits from Trax Records;gbblg0100328
Walkin';Frankie Knuckles & Adeva;Welcome To The Real World;usvi29501148
Detestimony;Chris Connelly;Initials C.C. Out-Takes, Rarities & Personal Favourites 1982-2002 Vol. 1;usa370646634
A Deeper Love;Clivilles & Cole;Greatest Remixes Vol. 1;ussm19200619
You Don't Love Me (Live At The Fillmore East/1971);The Allman Brothers Band;At Fillmore East;uspr37170011
Dreams;Quench;Dreams;dez090700035
Dream (Original Mix);Quench;Flux (Original Mix);augc21200165
Driving Away From Home (Jim's Tune);It’s Immaterial;Life's Hard And Then You Die (Deluxe Edition);gbaaa8600030
Energy Flash;Joey Beltram;Classics;bez350800044
Gonna Make You Sweat (Everybody Dance Now);C+C Music Factory;Gonna Make You Sweat;ussm19000533
Finally;Ce Ce Peniston;Finally;uswww0130034
You Used to Hold Me;Ralphi Rosario;Greatest Hits;gbblg0100308
Pacific 202;808 State;Utd. State 90;gbahw0000161
Promised Land (Cosmic Gate's No Gravity Extended Remix);Joe Smooth;Promised Land (Cosmic Gate's No Gravity Remix);nlf712007882
That's the Way Love Is (Underground Mix;Ten City;Foundation;usee10250640
House Nation;The House Master Boyz and The Rude Boy of House;House Nation;gbblg0100303
French Kiss (The Original Underground Mix);Lil’ Louis & the World;Club Epic - A Collection Of Classic Dance Mixes: Volume 4;ussm18900036
I'll House You;Jungle Brothers;Straight Out The Jungle;uswr39800039
Yo Yo Get Funky (Dj Funk Remix);Fast Eddie;FYE Remixes;nld682002038
Strings of Life;Derrick May;Innovator (Mayday);bez350800105
Freed From Desire (prod. Molella, Phil Jay);Gala, Molella;DIY Loves 90'S Vol. 1;ita179700143
