title;artist;album;isrc
Breathe Me;Sia;Colour The Small One (Deluxe Edition);gbaan0300590
Silent All These Years (2015 Remaster);Tori Amos;Little Earthquakes (2015 Remaster);usat21404709
Somewhere Over The Rainbow_What A Wonderful World;Israel Kamakawiwoʻole;Facing Future;usmac9300084
A&E;Goldfrapp;Seventh Tree;gbajh0700733
Personal Jesus (2006 Remaster);Depeche Mode;Violator (2006 Remaster);gbajh0600289
Seven Nation Army;The White Stripes;Elephant;usvt10300001
Angelica;Lamb;Between Darkness & Wonder;gbf080300488
At the River;Groove Armada;Vertigo;gbahk9900067
This Charming Man (New York Vocal) [2008 Remaster];The Smiths;The Sound of the Smiths (Deluxe) [2008 Remaster];gbcrl0800349
Ghost Town;The Specials;Stereo-Typical: A's, B's & Rarities;gbayk8100051
Act Three - Cloudbusting (Live);Kate Bush;Before The Dawn (Live);gbaye1601295
White Rabbit;Jefferson Airplane;The Worst Of Jefferson Airplane;usrc10301017
Teardrop;Massive Attack;Mezzanine;gbaaa9800322
La femme d'argent;Air;Moon Safari;frs639700550
Bombs (Live from Brixton - April 8, 2011);Faithless;Passing the Baton - Live from Brixton;gb7qy1200038
Blue Flower;Mazzy Star;She Hangs Brightly;usca29000610
Black Milk (feat. Liz Frazier);Massive Attack;H1;usdhm1402978
Halah;Mazzy Star;She Hangs Brightly;usca29000609
Safe From Harm (2012 Mix/Master);Massive Attack;Blue Lines (2012 Mix/Master);gbaaa1200644
Bohemian Rhapsody (Remastered 2011);Queen;Queen 40 Limited Edition Collector's Box Set;gbum71029604
Paradise Circus;Massive Attack;Heligoland;gbaaa0900963
Fade Into You;Mazzy Star;So Tonight That I Might See;usca29300105
Fools Gold (Remastered);The Stone Roses;The Stone Roses (20th Anniversary Collector's Edition);gbahj0900020
Protection;Massive Attack;Protection;gbaaa9400365
100 Days, 100 Nights;Sharon Jones and the Dap‐Kings;100 Days, 100 Nights;us4gz0701201
The Only Thing Worth Fighting For (From The HBO Series True Detective);Lera Lynn;The Only Thing Worth Fighting For (From The HBO Series True Detective);usug11500801
You Can't Always Get What You Want;The Rolling Stones;Let It Bleed;usa176910100
You Know I'm No Good;Amy Winehouse;Back To Black;gbum70603488
My Baby Just Cares for Me (2013 Remastered Version);Nina Simone;Little Girl Blue (2013 Remastered Version);qmsgd1370006
Talisman;Air;Moon Safari;frs639700590
In These Shoes?;Kirsty MacColl;Tropical Brainstorm;gbblk9900163
Uninvited;Alanis Morissette;The Collection (Standard Edition);uswb10505295
Cannonball (Acoustic);ZZ Ward;Cannonball (Acoustic);ushr11738270
One Step Beyond;Madness;One Step Beyond...;uswb10002132
Theme from Harry's Game;Clannad;Greatest Hits;gbarl8200011
We're Jamming (Tribute to Bob Marley) (We're Jamming Still);Lord Annunati / Lil Nino a.k.a. D.O.T.;Illuminated Script;seyok1603667
Queer;Garbage;Garbage (20th Anniversary Super Deluxe Edition/Remastered);usgf19500402
Fools Gold (Remastered);The Stone Roses;The Stone Roses (20th Anniversary Collector's Edition);gbahj0900020
One Way Or Another;Blondie;Greatest Hits: Blondie;usch38500014
Ghostwriter;RJD2;Deadringer: Deluxe;usa4t0403506
Mahna, Mahna;CAKE;B-Sides and Rarities;usghh0700003
Leave My Body;Florence + the Machine;Ceremonials;gbum71107578
Take Me Out;Franz Ferdinand;Franz Ferdinand;gbcel0300192
Cornflake Girl;Tori Amos;Under the Pink;usat29400050
Flowers In December;Mazzy Star;Among My Swan;usca29600652
What The Water Gave Me;Florence + the Machine;Ceremonials (Deluxe Edition);gbum71107703
Green Onions (Live From 5/4 Ballroom, Los Angeles/1965);Booker T. & the M.G.s;Green Onions (Stax Remasters);usc4r1200978
Do I Wanna Know?;Arctic Monkeys;AM;gbcel1300362
Welcome to the Machine;Pink Floyd;Wish You Were Here;gbn9y1100086
Crazy;Gnarls Barkley;St. Elsewhere;usat20611041
