title;artist;album;isrc
Smalltown Boy;Bronski Beat;The Age of Consent;gbaap0200005
Blue Monday (2011 Total Version);Joy Division / New Order;TOTAL;gbcrl1100216
Love Action (I Believe in Love);The Human League;Dare!;gbaaa0200923
Temptation;Heaven 17;The Best of Heaven 17: Higher & Higher;gbaaa8300003
Tainted Love;Soft Cell;Coneheads;gbfo88100017
Fade to Grey (original version);Visage;Fade To Grey:  The Best Of Visage;uspr38080067
Blue Monday '88 (2015 Remaster);New Order;Singles (2016 Remaster);gbaap1500077
Relax;Frankie Goes to Hollywood;Welcome To The Pleasuredome;gbahw9900051
Love Is The Drug;Roxy Music;Siren;gbaaa9900187
Don't You Want Me;The Human League;Dare!;gbaaa0200924
Pull up to the Bumper;Grace Jones;Nightclubbing;usir28100268
Living on the Ceiling;Blancmange;Second Helpings;gbaap0100383
Rapture;Blondie;Autoamerican;usch30100092
Two Tribes;Frankie Goes to Hollywood;Welcome To The Pleasuredome;gbahw9900024
The Model;Kraftwerk;The Man-Machine (2009 Remaster);usca20903078
Running Up That Hill (A Deal with God);Kate Bush;Hounds of Love (2018 Remaster);gbaye1800884
West End Girls (2001 Remaster);Pet Shop Boys;Please;gbaye0100001
Cars;Gary Numan;The Pleasure Principle;gbazp9700067
Obsession;Animotion;Obsession: The Best of Animotion;uspr38530022
Atomic;Blondie;Eat to the Beat;usghh1700001
Girls on Film (2010 Remaster);Duran Duran;Duran Duran (Deluxe Edition);gbaye1000023
Mad World;Tears for Fears;The Hurting;gbf088200040
Only You;Yazoo;The Best Of;gbajh9900151
You Spin Me Round (Like a Record);Dead or Alive;80s 100 Hits;gbbbm8502013
Are 'Friends' Electric?;Tubeway Army;Replicas;gbazp9700052
Buffalo Stance;Neneh Cherry;Raw Like Sushi;gbaaa8800048
Heart Of Glass;Debbie Harry / Blondie;Once More Into The Bleach;usch38900007
Kitchen at Parties;Jona Lewie;On the Other Hand There's a Fist;gbahw0500174
Vienna (2008 Remaster);Ultravox;Vienna (Remastered Definitive Edition);gbayk0800167
Situation [US 12'' Mix];Yazoo;The Best Of;gbajh9900163
I Feel Love (12'' version);Donna Summer;The Dance Collection: A Compilation of Twelve Inch Singles;uspr37800054
Oh Yeah;Yello;Stella (Remastered 2005);deum70500258
New Life (2006 Remaster);Depeche Mode;Speak & Spell (2006 Remaster);gbajh0600195
Once in a Lifetime;Talking Heads;Remain in Light (Deluxe Version);uswb10502869
Enola Gay;Max Richter;Waltz with Bashir [Original Motion Picture Soundtrack];gbaaa8000002
It's My Life;Talk Talk;It's My Life;gbaye9700491
Genius of Love;Tom Tom Club;Tom Tom Club;uswb10106527
Dance Hall Days [Rerecorded];Wang Chung;Back to the 80s: 20 Great Pop Hits;usrvf1500616
Sweet Dreams (Are Made of This) (Remastered);Eurythmics;Sweet Dreams (Are Made Of This);gbarl0300589
Professional Widow (Armand's Star Trunk Funk Mix);Tori Amos;A Tori Amos Collection: Tales of a Librarian;usat20303122
Go;Moby;Songs 1993 - 1998;usee19792088
Afro-Left;Leftfield;Leftism ((Remastered));gbarl1700448
Let Me Be Your Fantasy (original Full Length version);Baby D;Let Me Be Your Fantasy EP;gbbff9200396
Salva Mea;Faithless;Forever Faithless - The Greatest Hits;gbbxh9920071
Chime (Edit) [Remastered];Orbital;Chime;gbaap0200238
Feeling So Real;Moby;Everything Is Wrong;usee19574018
Spin Spin Sugar (Armand's Dark Garage mix);Sneaker Pimps;Spin Spin Sugar;gbcdn9700001
Open Up (Remastered);Leftfield;Leftism;gbbbn9300002
Don't You Want Me - Hooj Mix;FELIX;Don't You Want Me (Hooj Mix);gbarl9300221
Sweet Harmony;Liquid;Sweet Harmony;gbbks9200002
God Is a DJ;Faithless;Forever Faithless - The Greatest Hits;usar19800589
You Don't Know Me (feat. Duane Harden) [Radio Edit];Armand van Helden feat. Duane Harden;You Don't Know Me (feat. Duane Harden);gbanr9800212
Higher State of Consciousness (Tweekin Acid Funk);Wink;Higher State Of Consciousness;ussr39532103
King of My Castle [Original Mix];Wamdue Project;King of My Castle (Nicola Fasano & Steve Forest Mixes);gbdvg9833001
Passion (Do You Want It Right Now) (Radio Edit);Gat Decor;Passion;nlml69600127
